Vessel Name,Flag State,Vessel Type,IRCS,IMO #,FFA ID,Length Overall,Gross Weight,VDS Reg No.,Valid From,Valid To
RONG DA YANG 28,CN,Long Liner,BBGA8,9679696,36318,42.60,336.00,LLCN-2025-0412,2025-01-01,2025-12-31
RONG DA YANG 29,CN,Long Liner,BBGA9,9679701,36319,42.60,336.00,LLCN-2025-0413,2025-01-01,2025-12-31
RONGHENG19,CN,Long Liner,BZXD73,9671759,36356,42.60,317.00,LLCN-2025-0613,2025-02-14,2025-12-31
RONGHENG41,CN,Long Liner,BZXD74,9671761,36357,42.60,317.00,LLCN-2025-0614,2025-02-14,2025-12-31
ROSEMONT-888,PH,Reefer Carrier,DUL-6697,8613475,35777,63.25,950.00,RCPH-2025-0660,2025-01-12,2026-01-11
RUN DA 3,CN,Long Liner,BBCH6,8661721,36422,35.16,255.00,LLCN-2025-0408,2025-01-01,2025-12-31
RUN DA 5,CN,Long Liner,BBCH7,9702950,36396,35.16,255.00,LLCN-2025-0409,2025-01-01,2025-12-31
RYOMA,PA,Reefer Carrier,3ELZ5,9133305,35835,113.37,4493.00,RCPA-2025-0141,2025-01-01,2025-12-31
SAJO ALEXANDRIA,KR,Single Purse Seiner,6KCC7,9683635,36526,79.56,1016.00,PSKR-2025-0198,2025-01-01,2025-12-31
SAJO COLUMBIA,KR,Single Purse Seiner,DTBN2,9618379,36321,79.56,1014.00,PSKR-2025-0199,2025-01-01,2025-12-31
SAJO CONCORDIA,KR,Single Purse Seiner,6KMB,9699593,36775,79.90,1105.00,PSKR-2025-0200,2025-01-01,2025-12-31
SAJO FAMILIA,KR,Single Purse Seiner,6KCA3,9619323,36385,79.56,1014.00,PSKR-2025-0201,2025-01-01,2025-12-31
SAJO POSEDONIA,KR,Single Purse Seiner,6KCC5,9683623,36500,79.56,1016.00,PSKR-2025-0202,2025-01-01,2025-12-31
SAJO POTENTIA,KR,Single Purse Seiner,DTBX6,9587063,36003,70.59,1061.00,PSKR-2025-0203,2025-01-01,2025-12-31
SAJO THETISIA,KR,Single Purse Seiner,6KVD,9157466,33518,56.56,777.00,PSKR-2025-0197,2025-01-01,2025-12-31
SALTLAKE,KR,Reefer Carrier,D7MG,8603121,34311,96.78,3437.00,RCKR-2025-0339,2025-01-01,2025-12-31
SAN LAI FA NO.21,TW,Long Liner,BJ4582,8787977,34216,27.00,76.38,LLTW-2025-0298,2025-01-01,2025-12-31
SAN LAI FA NO.26,TW,Long Liner,BG4062,8781222,34257,33.89,139.00,LLTW-2025-0299,2025-01-01,2025-12-31
SAN LIAN FA NO. 1,TW,Long Liner,BJ5062,8781208,36150,24.85,99.63,LLTW-2025-0308,2025-01-01,2025-12-31
SAN LIAN FA NO. 18,TW,Long Liner,BG3845,8781210,36002,30.80,128.00,LLTW-2025-0348,2025-01-01,2025-12-31
SAN SHENG FA,TW,Long Liner,BG4061,8781258,36023,25.30,115.57,LLTW-2025-0300,2025-01-01,2025-12-31
SAN SHENG FA NO. TIEN,TW,Long Liner,BJ4591,8781246,34281,28.29,89.26,LLTW-2025-0309,2025-01-01,2025-12-31
SAN SHENG FA NO.3,TW,Long Liner,BG4071,8781234,34966,132.35,29.04,LLTW-2025-0673,2025-06-27,2025-12-31
SAN ZAI FA NO.15,TW,Long Liner,BG3885,8781272,36004,25.50,110.71,LLTW-2025-0349,2025-01-01,2025-12-31
SAN ZAI FA NO.6,TW,Long Liner,BG4060,8781260,35714,30.70,118.00,LLTW-2025-0297,2025-01-01,2025-12-31
SANWA FONTAINE,KR,Reefer Carrier,D7JZ,8204121,32868,92.21,3260.00,RCPA-2025-0449,2025-01-01,2025-12-31
SEA BLAZER,PA,Reefer Carrier,3ELI9,9057549,36914,121.91,4830.00,RCPA-2025-0653,2025-05-03,2026-05-02
SEA ENCOUNTER,US,Single Purse Seiner,WTF4069,7823360,4283,78.94,1340.00,PSUS-2025-0487,2025-01-01,2025-12-31
SEA FUTURE,PA,Reefer Carrier,3E3544,8860444,37026,133.95,6989.00,RCPA-2025-0553,2025-02-02,2026-02-01
SEA GLORY II,PA,Reefer Carrier,3FKX4,9009695,35613,120.70,4444.00,RCPA-2025-0257,2025-01-01,2025-12-31
SEA PEARL I,PA,Reefer Carrier,H8MF,9008639,36611,120.70,4430.00,RCPA-2025-0410,2025-01-01,2025-12-31
SEA REEFER,PA,Reefer Carrier,3FDD4,9175274,36921,133.80,6971.00,RCPA-2025-0206,2025-01-01,2025-12-31
SEA STAR V,PA,Reefer Carrier,3EYI5,8914221,36010,120.20,4574.00,RCPA-2025-0205,2025-01-01,2025-12-31
SEA TRADER I,PA,Reefer Carrier,HODS,8919893,35904,120.20,4574.00,RCPA-2025-0204,2025-01-01,2025-12-31
SEA WEALTH,PA,Reefer Carrier,3EEV3,9057537,36903,121.90,4830.00,RCPA-2024-0664,2024-10-25,2025-10-24
SEGYERO,KR,Single Purse Seiner,6KCD2,9713973,36575,79.60,1826.00,PSKR-2025-0148,2025-01-01,2025-12-31
SEIN FRONTIER,KR,Reefer Carrier,D7AX,9051789,36738,126.00,6082.00,RCKR-2025-0391,2025-01-01,2025-12-31
SEIN GALAXY,PA,Reefer Carrier,3EYB6,8810645,34664,100.80,3475.00,RCPA-2025-0609,2025-01-28,2026-01-27
SEIN GRACE,PA,Reefer Carrier,3EFA6,8609979,36639,124.70,4963.00,RCPA-2025-0392,2025-01-01,2025-12-31
SEIN HONOR,KR,Reefer Carrier,D7DC,9047257,36564,134.02,7313.00,RCKR-2025-0552,2025-01-19,2026-01-18
SEIN KASAMA,KR,Reefer Carrier,D7GL,9066485,37068,134.02,7329.00,RCKR-2024-0680,2024-11-15,2025-11-14
